Date,Symbol,Open,High,Low,Close,Volume,,
30-03-2011,ULTRACEMCO,1099,1145,1090.3,1125.7,204737,,
31-03-2011,ULTRACEMCO,1121,1147.5,1105.65,1131.5,204043,,
01-04-2011,ULTRACEMCO,1104.65,1131.85,1060,1111.25,45434,,
04-04-2011,ULTRACEMCO,1090.25,1130,1090.25,1119.6,103258,,
05-04-2011,ULTRACEMCO,1105.3,1138.9,1105.3,1133.75,149246,,
06-04-2011,ULTRACEMCO,1130.05,1135,1113,1118.15,45122,,
07-04-2011,ULTRACEMCO,1110.95,1125.05,1096,1100.6,138620,,
08-04-2011,ULTRACEMCO,1128.1,1128.1,1085,1091.8,93699,,
11-04-2011,ULTRACEMCO,1090,1099.9,1072.95,1079.5,66419,,
13-04-2011,ULTRACEMCO,1099,1099,1062.65,1086.45,139358,,
15-04-2011,ULTRACEMCO,1085.05,1091.1,1064.45,1070.55,53590,,
18-04-2011,ULTRACEMCO,1071.9,1074.05,1031.5,1045.7,109862,,
19-04-2011,ULTRACEMCO,1044,1049.9,1021.55,1032.5,140077,,
20-04-2011,ULTRACEMCO,1023.1,1048.8,1007,1019.35,449774,,
21-04-2011,ULTRACEMCO,1028.75,1033.45,1004.5,1011.65,227968,,
25-04-2011,ULTRACEMCO,1015,1040,1015,1035.8,44755,,
26-04-2011,ULTRACEMCO,1040.65,1075,1039,1058.75,419657,,
27-04-2011,ULTRACEMCO,1070,1071.15,1045,1060.15,255168,,
28-04-2011,ULTRACEMCO,1060.05,1073,1057,1065.65,180321,,
29-04-2011,ULTRACEMCO,1070,1094.5,1070,1089.15,356499,,
02-05-2011,ULTRACEMCO,1092.25,1095,1056.5,1064.05,76412,,
03-05-2011,ULTRACEMCO,1051.1,1078.8,1016.2,1033.15,153182,,
04-05-2011,ULTRACEMCO,1017.05,1032.95,1005,1015.1,146645,,
05-05-2011,ULTRACEMCO,997.2,1024.45,997.2,1007.6,97845,,
06-05-2011,ULTRACEMCO,998.95,1054.8,998.95,1045.6,89940,,
09-05-2011,ULTRACEMCO,1044.85,1066,1031.2,1038.65,158657,,
10-05-2011,ULTRACEMCO,1028.05,1056,1028.05,1049.8,114122,,
11-05-2011,ULTRACEMCO,1050,1053,1036.05,1048.7,174707,,
